Rate	34.48
RJ Local Transform Add / Remove	34.48
Local Transform Move	3.45
Local Transform Change Scale	27.59
Rate Tried	% Accepted	RJ Local Transform Add / Remove Tried	% Accepted	Local Transform Move Tried	% Accepted	Local Transform Change Scale Tried	% Accepted	Alpha 1 - Dev	Alpha 1 - Tried	Alpha 1 - Accepted	Sigma^2 1 - Dev	Sigma^2 1 - Tried	Sigma^2 1 - Accepted	VarRates - Dev	VarRates - Tried	VarRates - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
1326	0.326546	1420	0.083099	161	0.621118	1093	0.306496	0.000007	661	0.320726	0.081053	665	0.332331	45.173716	1093	0.306496	0.246500	0.227571	
1362	0.328194	1379	0.072516	119	0.411765	1140	0.314912	0.000007	678	0.337758	0.081048	684	0.318713	45.173716	1140	0.314912	0.238750	0.227578	
1349	0.268347	1382	0.073806	154	0.402597	1115	0.300448	0.000007	667	0.284858	0.081040	682	0.252199	45.173716	1115	0.300448	0.215250	0.227570	
1360	0.252206	1342	0.070045	132	0.507576	1166	0.310463	0.000007	658	0.267477	0.081014	702	0.237892	45.173716	1166	0.310463	0.216500	0.227563	
1350	0.292593	1430	0.104196	141	0.382979	1079	0.318814	0.000007	670	0.313433	0.080993	680	0.272059	45.173716	1079	0.318814	0.235500	0.227568	
1369	0.322133	1367	0.073884	143	0.454545	1121	0.292596	0.000007	666	0.291291	0.080968	703	0.351351	45.173716	1121	0.292596	0.233750	0.227572	
1421	0.352569	1336	0.074102	142	0.401408	1101	0.308810	0.000007	706	0.304533	0.080972	715	0.400000	45.173716	1101	0.308810	0.249250	0.227586	
1375	0.322182	1390	0.069784	143	0.419580	1092	0.299451	0.000007	661	0.307110	0.080983	714	0.336134	45.173716	1092	0.299451	0.231750	0.227589	
1408	0.326705	1376	0.077762	142	0.415493	1074	0.319367	0.000007	689	0.322206	0.080970	719	0.331015	45.173716	1074	0.319367	0.242250	0.227598	
1358	0.312960	1388	0.077089	155	0.387097	1099	0.294813	0.000007	683	0.327965	0.080853	675	0.297778	45.173716	1099	0.294813	0.229000	0.227599	
1375	0.335273	1397	0.068003	126	0.436508	1102	0.280399	0.000007	681	0.296623	0.080848	694	0.373199	45.173716	1102	0.280399	0.230000	0.227601	
1403	0.323592	1346	0.092868	135	0.511111	1116	0.317204	0.000007	707	0.340877	0.080850	696	0.306034	45.173716	1116	0.317204	0.250500	0.227616	
1371	0.325310	1334	0.059220	139	0.395683	1156	0.368512	0.000007	656	0.301829	0.080849	715	0.346853	45.173716	1156	0.368512	0.251500	0.227631	
1376	0.337936	1373	0.056810	123	0.447154	1128	0.352837	0.000007	668	0.321856	0.080856	708	0.353107	45.173716	1128	0.352837	0.249000	0.227645	
1364	0.300587	1364	0.068915	121	0.388430	1151	0.364900	0.000007	683	0.270864	0.080857	681	0.330396	45.173716	1151	0.364900	0.242750	0.227655	
1380	0.321014	1375	0.070545	143	0.384615	1102	0.314882	0.000007	672	0.276786	0.080921	708	0.362994	45.173716	1102	0.314882	0.235500	0.227660	
1351	0.345670	1357	0.069270	139	0.366906	1153	0.338248	0.000007	666	0.300300	0.080986	685	0.389781	45.173716	1153	0.338248	0.250500	0.227674	
1383	0.360810	1349	0.065234	150	0.420000	1118	0.344365	0.000007	703	0.327169	0.081023	680	0.395588	45.173716	1118	0.344365	0.258750	0.227694	
1414	0.345120	1388	0.069885	143	0.419580	1055	0.331754	0.000007	699	0.260372	0.081076	715	0.427972	45.173716	1055	0.331754	0.248750	0.227708	
1380	0.255072	1411	0.073707	140	0.507143	1069	0.310571	0.000007	671	0.314456	0.149924	709	0.198872	45.173716	1069	0.310571	0.214750	0.227700	
1386	0.308802	1340	0.073881	146	0.417808	1128	0.284574	0.000007	684	0.299708	0.083854	702	0.317664	45.173716	1128	0.284574	0.227250	0.227699	
1393	0.322326	1345	0.078810	138	0.369565	1124	0.278470	0.000007	703	0.295875	0.081928	690	0.349275	45.173716	1124	0.278470	0.229750	0.227701	
1390	0.309353	1417	0.078335	111	0.450450	1082	0.295749	0.000007	723	0.333333	0.081970	667	0.283358	45.173716	1082	0.295749	0.227750	0.227701	
1381	0.293990	1437	0.068198	118	0.406780	1064	0.297932	0.000007	710	0.336620	0.081943	671	0.248882	45.173716	1064	0.297932	0.217250	0.227694	
1399	0.265904	1428	0.055322	123	0.406504	1050	0.332381	0.000007	679	0.313697	0.081910	720	0.220833	45.173716	1050	0.332381	0.212500	0.227684	
1357	0.265291	1377	0.054466	143	0.300699	1123	0.313446	0.000007	649	0.292758	0.081855	708	0.240113	45.173716	1123	0.313446	0.207500	0.227671	
1351	0.259067	1380	0.068116	139	0.474820	1130	0.322124	0.000007	645	0.280620	0.081840	706	0.239377	45.173716	1130	0.322124	0.218500	0.227665	
1359	0.356880	1392	0.061782	142	0.521127	1107	0.291780	0.000007	653	0.283308	0.081854	706	0.424929	45.173716	1107	0.291780	0.242000	0.227675	
